Client,Request,Key,Timestamp,Action,Value
1,put,a,1522786168558,req,1
1,put,a,1522786168558,resp,1
2,put,a,1522786169794,req,2
2,put,a,1522786169795,resp,2
3,put,a,1522786170926,req,3
3,put,a,1522786170927,resp,3
4,put,a,1522786172062,req,4
1,get,a,1522786198417,req
2,get,a,1522786199438,req
3,get,a,1522786200423,req
4,get,a,1522786201590,req
2,get,a,1522786210791,resp,4
3,get,a,1522786215473,resp,4
1,get,a,1522786216378,resp,4
4,get,a,1522786224687,resp,4
Client,Request,Key,Timestamp,Action,Value
1,put,a,1522788313817,req,1
1,put,a,1522788313818,resp,1
2,put,a,1522788314638,req,2
2,put,a,1522788314638,resp,2
3,put,a,1522788315761,req,3
3,put,a,1522788315761,resp,3
4,put,a,1522788317195,req,4
4,put,a,1522788317195,resp,4
1,get,a,1522788373163,req
2,get,a,1522788375412,req
3,get,a,1522788377514,req
1,get,a,1522788377759,resp,4
2,get,a,1522788379278,resp,4
4,get,a,1522788379551,req
3,get,a,1522788387726,resp,4
4,get,a,1522788387980,resp,4
